"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
Bean-Soup,90821142,,0,
"7-up 350ml",91125343,,0,
Beans-Stew,40866249,,0,
"Bread Buttered",96264141,,0,
Cabbages-Steam,90501022,,0,
Chips-full,67791505,,0,
Ugali-White,34069911,null,2,
Chips-Half,20303385,,0,
Tea-White,34091721,,0,
"Kienyeji Veges (Managu)",68938462,,0,
Ugali-Brown,84562186,,0,
"Beef Roasted",40815612,,0,
Beef-Boil,02301355,,0,
"Sweet Potato",42731194,,6,
Beef-Fry,75310229,,0,
Beef-Stew,63204192,,0,
"Tea Scones",18911934,,0,
Tea-Black,25073941,,90,
"Bread Plain",80871239,,0,
"Tea-Masala Black",63076597,,0,
"Cassava Boiled",12922346,,0,
Chapati-Brown,97614309,,0,
Chapati-White,38192827,,0,
CHICKEN,07012214,,15,
"Chicken-Fry Broiler",52809782,,0,
"Sting Energy Drink",18298203,,0,
"Chicken-Fry Local",04029716,,0,
"Chicken-Stew Local",00453651,,0,
"Soda 300ml",88610137,,0,
"Chicken-Wet Fry Broiler",10609203,,0,
"Soda 350ml",12249333,,0,
"Soda 500ml",46118235,,0,
Cocoa,37331799,,0,
Coffee-Black,11493282,,0,
Coffee-White,00707836,,0,
"Soda Plastic",81384279,,0,
"Dasani 1ltr",84965610,,0,
"Soda Plastic 1.25 ltr",12998546,,0,
"Dasani 500ml",36728893,,0,
"Dengu Stew",40770029,,0,
Spaghetti,73410506,,0,
Egg-Boiled,71152208,,0,
"Sponge Cake",96611302,,0,
Egg-Fried/Stew,26693194,,0,
"Egg-Spanish Omellet",94369589,,0,
"Egg-Spanish Omellete",30764869,,0,
"Porridge Calabash",70252933,,0,
"Fish Tilapia-Stew (Medium)",03024771,,0,
Predator,92536115,,0,
"Fish Tilapia-Stew (small)",89801350,,0,
"Queen Cake",02507958,,0,
"Fish-Nileperch Fry",40338127,,0,
"Fish-Tilapia Fry (medium)",25179960,,0,
Rice-Brown,94278402,,0,
"Fulu-wet fry",31078209,,0,
Samosas-Beef,02826411,,0,
"JOOUST WATER",30045835,,0,
"Irish Potatoes-Stew",20321629,,0,
Rice-White,23982355,,0,
"Hot Milk",03158721,,0,
Groundnuts-Roasted,03061256,,0,
Githeri,53701059,,0,
Samosas-Veges,73214528,,0,
Sausage-Beef,24506318,,10,
Sausage-Chicken,96431328,,0,
Juice,21025239,,0,
Juice(Large),52381142,,0,
Smokie-Beef,97190273,,0,
Juice(Medium),93012092,,0,
"Kachumbari Salad",98643025,,0,
Kales-Steam,63242901,,0,
Kebabs-Beef,58791251,,0,
"Nduma Boiled",17760330,,0,
Kebabs-Veges,47160299,,0,
"Matumbo Fry",05732042,,0,
Omena-Fry,91005760,,0,
"Matumbo Stew",13900472,,0,
Porridge,30842920,,0,
Mbuzi-Fry,36951994,,0,
Mbuzi-Stew,10606277,,0,
Pilau,49353941,,0,
"Mbuzi-Wet Fry",30634197,,0,
"Pepsi Plastic 330 ml",12494379,,0,
Meat-Soup,10319446,,0,
Minute-maid,64100024,,0,
Pancake,01973528,,0,
"Mirinda 300ML",70560738,,0,
"Omena-Wet Fry",03938164,,0,
"Mixed Vegetables",38964110,,0,
Mokimo,43955821,,0,
Omena-Stew,37458242,,0,
"Mountain Dew 300ml",85416248,,0,
Ndazi,86039316,,0,
"CHICKEN BROILERS",91883503,,30,
"FISH 120 [TILAPIA]",58292703,,210,
"FISH 170 [TILAPIA]",49841572,,90,
"FISH [NILE PERCH]",39786340,,60,
"FOOD WRAP",06529094,,-1,
"BULLS FOR MEAT",99647081,,1,
MATUMBO,76521180,,15,
DAGAA/OMENA,36207011,,60,
Fulu,48843512,,60,
Goat,96721197,,1,
FOIL,63053190,,-1,
"POLISHED NDENGU (LAXMI)",22187994,,150,
"BEANS (YELLOW GREEN)",50381264,,120,
"IRISH POTATOES",26097622,,1.5,
"MAIZEMEAL (DOLA)",92593183,,42,
"BROWN FLOUR (MIXED FLOUR)",03412919,,21,
"WHEAT FLOUR (SOFTY)",10326429,,30,
MATCHBOXES,63212994,,-1,
"ATA MARK (BROWN WHEAT FLOUR)",59364229,,1,
MATOKE,90359428,,1,
"GREEN MAIZE (GITHERI)",02234826,,20,
MANGOES,51542132,,10,
"RICE  (CORRIE)",09563981,,150,
"PASSION FRUITS",03117433,,2,
"SALAD OIL 20LTS",94517582,,12,
CABBAGES,92604863,,30,
"KAMPALA BANANAS",80270294,,-1,
SUKUMAWIKI,34381072,,150,
"ASSORTED LOCAL VEGETABLES",63103923,,125,
PINEAPPLES,46316292,,2,
TOMATOES,45883319,,1,
ORANGES,07860151,,2,
ONIONS,13583064,,30,
"GROUNDNUTS (2KG TIN)",87610403,,5,
"WATER MELON",20690212,,4,
CASSAVA,94702176,,2,
"ARROW ROOTS",71089222,,2,
"GINGER FRESH",92074860,,4.5,
HONEY,29271396,,1,
SESAME,01479630,,2,
"STING ENERGY DRINK-350ML",02827609,,-1,
"JOOUST WATER-500ML",91410732,,6,
"GARLIC FRESH",26973293,,3,
LEMONS,58380941,,3,
"MOUNTAIN DEW-300ML",16380028,,-1,
MIRINDA-300ML,33674588,,-1,
"TOMATO PASTE",26501513,,3,
"TUMERIC  POWDER",92301904,,1,
7-UP-350ML,08309899,,-1,
CARROTS,63739109,,3,
"HOT CHILLIE",05858403,,1,
DHANIA,38190495,,20,
PREDATOR-400ML,55209483,,10,
"ASSORTED CAPSICUM",42137734,,60,
"CURRY POWDER-SIMBA MBILI",18048902,,2,
MINUTE-MAID-400ML,51629983,,0,
"SOY SAUCE",93190682,,3,
"WHITE VINEGAR",19006242,,3,
"PEPSI PLASTIC-330ML",02738093,,0,
"SALT 2KG PACKET",02009821,,5,
"GARDEN  PEAS",98100460,,2,
